flight_id,origin_id,destination_id,departure_date,departure_time,aircraft_id
4001,1,2,11/07/2025,08:00,101
4002,2,1,12/07/2025,12:00,101
4003,1,4,13/07/2025,08:00,102
4004,4,1,14/07/2025,14:50,102
4005,1,3,15/07/2025,08:00,103
4006,3,1,16/07/2025,09:30,103
4007,1,5,17/07/2025,20:30,101
4008,5,1,18/07/2025,12:00,101
4009,1,2,19/07/2025,08:00,102
4010,2,1,20/07/2025,17:00,102
4011,1,4,21/07/2025,06:00,103
4012,4,1,22/07/2025,19:00,103
4013,1,5,23/07/2025,08:00,101
4014,5,1,24/07/2025,07:55,101
4015,1,3,25/07/2025,16:40,102
4016,3,1,26/07/2025,13:30,102
